Reading Number,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-18,S-19
1,25.7,29.8,37.0,26.3,35.3,35.5,25.8,21.6,16.0,39.1,37.9,13.7,26.8
2,27.2,31.3,36.4,25.0,41.0,35.6,25.0,22.2,17.3,38.8,40.7,14.3,37.8
3,24.0,32.2,35.6,25.3,40.4,36.1,27.3,22.8,16.6,42.6,40.1,17.8,35.6
4,24.1,32.8,40.1,29.1,44.7,36.8,25.6,24.4,17.2,43.8,44.0,15.6,37.8
5,23.5,35.5,37.9,26.8,43.7,36.5,25.0,26.0,17.0,43.8,45.7,15.7,47.2
6,24.8,,,,,,,,19.8,,,14.1,29.6
7,27.6,,,,,,,,20.3,,,20.5,36.3
8,27.9,,,,,,,,19.1,,,17.7,40.0
9,29.5,,,,,,,,21.1,,,21.0,45.1
10,29.9,,,,,,,,22.6,,,18.4,45.3
